,main_category,word,value,tag
1431,cat1,décommande,1,NOUN
1398,cat2,surtaxer,1,NOUN
1408,cat2,liban,1,PROPN
1407,cat1,néanmoins,1,ADV
1406,cat2,relèv,1,NOUN
1405,cat1,sandale,1,ADJ
1404,cat2,douteusement,1,ADV
1403,cat1,totaliser,1,VERB
1252,cat1,traire,1,ADJ
1402,cat1,inutile,1,ADJ
1401,cat2,couteal,1,VERB
1400,cat1,vivre,1,NOUN
1399,cat2,avancer,1,VERB
1397,cat2,quelques-uns,1,INTJ
1642,cat2,bouton,1,NOUN
1396,cat2,abuser,1,VERB
1395,cat1,versace,1,NOUN
1394,cat1,zero,1,NOUN
1253,cat1,utilisable,1,ADJ
1393,cat1,experience,1,NOUN
1254,cat2,hesperide,1,NOUN
1255,cat1,marquer,1,VERB
1256,cat1,alimentaire,1,ADJ
1392,cat2,étanchéité,1,NOUN
1391,cat1,puisque,1,SCONJ
1257,cat2,quoimon,1,ADP
1409,cat1,datant,1,NOUN
1251,cat1,dpd,1,X
1430,cat1,dégrader,1,VERB
1420,cat1,chinoiserie,1,NOUN
1243,cat1,repartir,1,VERB
1244,cat1,froisser,1,VERB
1429,cat2,éraflure,1,ADJ
1428,cat2,impecabl,1,ADV
1427,cat1,vpas,1,ADV
1426,cat2,delai,1,VERB
1425,cat2,faillir,1,VERB
1424,cat2,credence,1,NOUN
1423,cat2,abonnemer,1,VERB
1422,cat2,médical,1,VERB
1421,cat2,prépayerde,1,NOUN
1419,cat2,apparaitre,1,VERB
1411,cat1,😒,1,NOUN
1418,cat1,oreille,1,NOUN
1417,cat1,operateur,1,NOUN
1246,cat1,ouvert,1,VERB
1247,cat1,moyen,1,NOUN
1416,cat1,profiter,1,VERB
1248,cat2,séter,1,VERB
1249,cat1,entrain,1,ADJ
1414,cat1,capsule,1,VERB
1413,cat1,sitej,1,NOUN
1412,cat1,gestionnaire,1,ADJ
1250,cat1,polo,1,VERB
1410,cat1,momail,1,NOUN
0,cat2,rose,1,VERB
1643,cat1,soleil,1,NOUN
2033,cat2,mediateurfevad,1,NOUN
2031,cat1,apocalypse,1,VERB
2030,cat1,ébrécher,1,VERB
2029,cat1,injoignable,1,ADJ
2028,cat1,douteux,1,ADJ
2027,cat2,e-vendeur,1,NOUN
2026,cat2,réalité,1,NOUN
2025,cat2,mondial,1,ADJ
2024,cat2,afinqu,1,VERB
2023,cat2,rattraper,1,VERB
2022,cat1,bandit,1,VERB
2021,cat2,emblée,1,NOUN
2020,cat2,cuir,1,NOUN
2019,cat2,désespoir,1,VERB
2018,cat2,rallonger,1,VERB
2017,cat1,encaissemer,1,VERB
2016,cat2,retirer,1,VERB
2015,cat2,vepe,1,NOUN
2014,cat2,cauchemar,1,VERB
2013,cat2,crésus,1,NOUN
2012,cat1,somme,1,NOUN
2011,cat1,mépris,1,NOUN
2010,cat2,commentaire,1,NOUN
2009,cat2,prepaye,1,ADJ
2008,cat1,signe,1,NOUN
2007,cat1,litige,1,NOUN
2006,cat1,traitement,1,NOUN
2005,cat1,concurrent,1,ADJ
2004,cat2,summum,1,ADJ
2003,cat1,expédition,1,NOUN
2032,cat2,mccartney,1,PROPN
2034,cat2,resumé,1,VERB
2001,cat2,daigner,1,VERB
2035,cat1,regarder,1,VERB
2064,cat2,situation,1,NOUN
2063,cat2,agréer,1,VERB
2062,cat2,terriblemer,1,VERB
2061,cat1,espérer,1,VERB
2060,cat2,discourt,1,NOUN
2059,cat1,coûteux,1,ADJ
2058,cat1,arrivé,1,VERB
2057,cat1,rétractation,1,NOUN
2056,cat1,tordu,1,VERB
